cleaned_term,source_code,source_term,mapped_concept_id,mapped_concept_name,mapped_rationale
"Familial chondrocalcinosis, forearm",37087421,"Familial chondrocalcinosis, forearm",-1,no_match,"The source term specifies both the etiology (familial chondrocalcinosis) and the anatomical location (forearm) without laterality. None of the candidate concepts simultaneously capture the familial etiology and the forearm location at the same level of specificity:  • Concept 4035750 (Familial chondrocalcinosis) lacks the required forearm site.  • Concepts that include the familial etiology (e.g., 37207782, 37207780) are limited to the wrist and add laterality, making them over-specific.  • Concepts that reference the forearm or its joints lack the familial qualifier. Therefore, no exact clinical equivalent is available among the candidates."
"Gout arthropathy due to enzyme defects and congenital diseases, hand",37087581,"Gout arthropathy due to enzyme defects and other congenital diseases: hand [fingers, wrist, metacarpal, joints between these bones]",-1,no_match,"The source term requires three key elements: 1) gouty arthropathy, 2) location limited to the hand, and 3) etiology secondary to enzyme defects/congenital disease. No candidate concept simultaneously contains all three components. Concepts that include the hand lack the enzyme‐defect etiology (e.g., 4114911 Gouty arthritis of hand). The concept that includes enzyme‐defect etiology (4035752 Gout secondary to enzyme defect) lacks the hand location. Therefore no exact clinical equivalent is available among the provided targets."
"Idiopathic scoliosis, sacral and sacrococcygeal region",37088295,"Other idiopathic scoliosis, sacral and sacrococcygeal region",-1,no_match,"No candidate concept specifies idiopathic scoliosis localized to the sacral and/or sacrococcygeal region. The closest options are either too general (e.g., 'Idiopathic scoliosis') or refer to other regions/age groups (e.g., lumbar, lumbosacral, adolescent). Therefore, no exact clinical equivalent is present among the targets."
"Deforming dorsopathies, thoracic region",37088465,"Other specified deforming dorsopathies, thoracic region",4183247,Deformity of thoracic spine,"The source term refers to pathologic deformities of the dorsal (thoracic) spine. SNOMED concept 4183247 ""Deformity of thoracic spine"" captures the same clinical notion—any structural deformity involving the thoracic spine—without adding or omitting detail. It is neither broader (remains limited to deformities, not all disorders) nor more specific (does not stipulate a particular type of deformity). Other candidates are either broader (e.g., ""Disorder of thoracic spine"") or more specific (e.g., ""Kyphosis of thoracic spine"", ""Rotational deformity of thoracic spine""). Hence 4183247 is an exact clinical equivalent."
Plasmodium vivax malaria,37089588,Plasmodium vivax malaria,433960,Vivax malaria,"Concept 433960 ""Vivax malaria"" represents malaria caused by Plasmodium vivax, exactly matching the source term’s organism-specific form of malaria. It is neither broader (maintains specificity to P. vivax) nor narrower (does not add complications or other qualifiers), fulfilling equivalence. All other candidates are either the organism itself, lab tests/antibodies/exposures, or a more specific complication, and thus do not precisely match the source clinical condition."
"Fibromyalgia, hand",37089810,"Fibromyalgia, hand",-1,no_match,"None of the candidate concepts represent fibromyalgia specifically localized to the hand. All fibromyalgia concepts provided are systemic and more general, while hand-specific concepts lack the fibromyalgia diagnosis. Selecting any of them would violate the specificity rules."
"Idiopathic osteoporosis, upper arm",37089999,"Idiopathic osteoporosis, upper arm",-1,no_match,"The source term specifies both an etiology (idiopathic) and an anatomic location (upper arm). None of the candidate concepts simultaneously include idiopathic osteoporosis and restriction to the upper arm. Each option is either: 1) idiopathic osteoporosis without a specified site (e.g., concept_id 81390), or 2) a disorder of the upper arm that is not idiopathic osteoporosis (e.g., osteitis or pathological fracture concepts). Therefore no exact clinical equivalent is available among the provided targets."
"Adult osteomalacia, upper arm",37090164,"Adult osteomalacia, unspecified, upper arm",-1,no_match,"The source term specifies 1) adult onset, 2) osteomalacia, and 3) localization to the upper arm. None of the candidate concepts include all three elements simultaneously. The osteomalacia candidates either lack the adult qualifier, add an etiologic qualifier (malabsorption, malnutrition, endocrine, etc.), or do not specify the upper-arm location. The upper-arm disorder concepts do not state osteomalacia. Therefore an exact clinical equivalent is not present among the targets."
"disorder of bone, pelvic region and thigh",37090689,"Disorder of bone, unspecified, pelvic region and thigh",-1,no_match,"None of the candidate concepts is equivalent. Options are either too broad (e.g., ""Disorder of bone"" covers all bones), too narrow or different in anatomic scope (e.g., ""Disorder of pelvis,"" ""Deformity of bone of pelvis"" exclude thigh; ""Disorder of thigh"" and ""Disorder of pelvic region of trunk"" include non-bone tissues), or specify different pathologies (e.g., arthropathy, cartilage disorders). No candidate captures disorders of bone specifically limited to both the pelvic region and thigh without adding or omitting clinical details."
"Osteonecrosis in caisson disease, multiple sites",37090735,"Osteonecrosis in caisson disease, multiple sites",-1,no_match,"The source term specifies osteonecrosis due to Caisson disease affecting multiple sites. The closest candidate (concept_id 4069528 ""Osteonecrosis due to Caisson disease"") matches the etiology but does not specify involvement of multiple sites, making it broader than the source term. No candidate contains both the etiology (Caisson disease) and the qualifier ""multiple sites""; therefore, no exact match is available."
